IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.114.163,2087,2087,true,SIN,Asia Pacific,Singapore,41,4.84
8.219.0.48,8443,8443,true,SIN,Asia Pacific,Singapore,87,4.84
8.210.101.157,2053,2053,true,HKG,Asia Pacific,Hong Kong,55,4.84
47.236.170.54,2096,2096,true,SIN,Asia Pacific,Singapore,85,4.84
8.210.3.24,2087,2087,true,HKG,Asia Pacific,Hong Kong,47,4.83
8.218.146.204,2053,2053,true,HKG,Asia Pacific,Hong Kong,149,4.83
8.219.139.13,2083,2083,true,SIN,Asia Pacific,Singapore,103,4.81
47.245.105.224,8443,8443,true,SIN,Asia Pacific,Singapore,53,4.81
47.236.167.231,2096,2096,true,SIN,Asia Pacific,Singapore,69,4.80
8.219.142.191,2087,2087,true,SIN,Asia Pacific,Singapore,117,4.79
8.218.53.110,2053,2053,true,HKG,Asia Pacific,Hong Kong,133,4.79
8.219.201.8,2096,2096,true,SIN,Asia Pacific,Singapore,114,4.78
8.217.248.220,2096,2096,true,HKG,Asia Pacific,Hong Kong,69,4.78
47.236.170.54,2083,2083,true,SIN,Asia Pacific,Singapore,114,4.78
8.219.174.142,2053,2053,true,SIN,Asia Pacific,Singapore,46,4.77
8.210.65.1,2087,2087,true,HKG,Asia Pacific,Hong Kong,63,4.76
8.218.207.169,2087,2087,true,HKG,Asia Pacific,Hong Kong,66,4.76
8.217.221.165,2096,2096,true,HKG,Asia Pacific,Hong Kong,69,4.75
47.236.144.196,2053,2053,true,SIN,Asia Pacific,Singapore,106,4.75
47.236.166.131,8443,8443,true,SIN,Asia Pacific,Singapore,46,4.74
8.219.1.92,8443,8443,true,SIN,Asia Pacific,Singapore,54,4.74
8.217.127.73,8443,8443,true,HKG,Asia Pacific,Hong Kong,60,4.74
8.219.1.92,2053,2053,true,SIN,Asia Pacific,Singapore,61,4.74
8.222.146.222,2096,2096,true,SIN,Asia Pacific,Singapore,150,4.72
47.236.164.215,2083,2083,true,SIN,Asia Pacific,Singapore,96,4.72
8.217.221.165,8443,8443,true,HKG,Asia Pacific,Hong Kong,63,4.71
47.236.169.164,2096,2096,true,SIN,Asia Pacific,Singapore,144,4.71
47.237.0.31,8443,8443,true,SIN,Asia Pacific,Singapore,51,4.69
8.222.137.192,443,443,true,SIN,Asia Pacific,Singapore,93,4.69
47.236.150.13,2083,2083,true,SIN,Asia Pacific,Singapore,99,4.68
47.236.10.182,2053,2053,true,SIN,Asia Pacific,Singapore,47,4.66
8.222.156.242,2096,2096,true,SIN,Asia Pacific,Singapore,150,4.65
47.236.75.113,8443,8443,true,SIN,Asia Pacific,Singapore,45,4.65
8.219.86.200,2087,2087,true,SIN,Asia Pacific,Singapore,89,4.65
8.219.201.245,2083,2083,true,SIN,Asia Pacific,Singapore,67,4.63
47.237.14.220,2087,2087,true,SIN,Asia Pacific,Singapore,43,4.63
47.242.252.237,2083,2083,true,HKG,Asia Pacific,Hong Kong,56,4.63
8.210.66.190,2053,2053,true,HKG,Asia Pacific,Hong Kong,58,4.62
8.218.188.129,8443,8443,true,HKG,Asia Pacific,Hong Kong,57,4.62
47.236.170.225,8443,8443,true,SIN,Asia Pacific,Singapore,92,4.61
47.237.10.1,2053,2053,true,SIN,Asia Pacific,Singapore,140,4.61
8.222.187.4,2096,2096,true,SIN,Asia Pacific,Singapore,170,4.61
47.237.95.140,2053,2053,true,SIN,Asia Pacific,Singapore,57,4.60
47.242.54.157,2083,2083,true,HKG,Asia Pacific,Hong Kong,67,4.59
47.236.172.95,8443,8443,true,SIN,Asia Pacific,Singapore,163,4.59
8.222.136.247,2087,2087,true,SIN,Asia Pacific,Singapore,74,4.59
47.237.95.146,2087,2087,true,SIN,Asia Pacific,Singapore,43,4.59
47.245.114.163,2053,2053,true,SIN,Asia Pacific,Singapore,15,4.58
47.236.93.176,2096,2096,true,SIN,Asia Pacific,Singapore,74,4.58
47.242.202.230,2053,2053,true,HKG,Asia Pacific,Hong Kong,88,4.58
47.236.172.71,2087,2087,true,SIN,Asia Pacific,Singapore,105,4.57
47.243.42.219,2096,2096,true,HKG,Asia Pacific,Hong Kong,58,4.56
8.217.250.222,2083,2083,true,HKG,Asia Pacific,Hong Kong,79,4.56
47.76.32.108,2087,2087,true,HKG,Asia Pacific,Hong Kong,76,4.53
8.219.87.30,2096,2096,true,SIN,Asia Pacific,Singapore,84,4.53
47.243.139.85,2083,2083,true,HKG,Asia Pacific,Hong Kong,56,4.53
8.219.124.227,2096,2096,true,SIN,Asia Pacific,Singapore,84,4.52
47.237.95.13,2087,2087,true,SIN,Asia Pacific,Singapore,36,4.52
8.222.167.147,2087,2087,true,SIN,Asia Pacific,Singapore,5,4.51
47.236.174.206,2053,2053,true,SIN,Asia Pacific,Singapore,54,4.50
8.218.48.92,2096,2096,true,HKG,Asia Pacific,Hong Kong,113,4.50
47.236.189.92,2096,2096,true,SIN,Asia Pacific,Singapore,122,4.48
47.236.87.246,2096,2096,true,SIN,Asia Pacific,Singapore,75,4.47
47.237.100.206,2083,2083,true,SIN,Asia Pacific,Singapore,60,4.47
47.236.172.71,8443,8443,true,SIN,Asia Pacific,Singapore,120,4.47
8.219.114.201,2083,2083,true,SIN,Asia Pacific,Singapore,145,4.46
47.245.86.230,443,443,true,SIN,Asia Pacific,Singapore,61,4.45
8.219.50.180,2087,2087,true,SIN,Asia Pacific,Singapore,138,4.45
8.219.84.214,8443,8443,true,SIN,Asia Pacific,Singapore,74,4.44
47.242.54.157,2053,2053,true,HKG,Asia Pacific,Hong Kong,88,4.44
8.219.0.48,2053,2053,true,SIN,Asia Pacific,Singapore,81,4.43
47.236.253.41,2087,2087,true,SIN,Asia Pacific,Singapore,48,4.43
47.236.167.231,2083,2083,true,SIN,Asia Pacific,Singapore,88,4.42
8.222.136.247,2087,2087,true,SIN,Asia Pacific,Singapore,62,4.42
8.217.127.73,2087,2087,true,HKG,Asia Pacific,Hong Kong,70,4.41
8.222.183.242,2087,2087,true,SIN,Asia Pacific,Singapore,70,4.40
8.217.221.165,2083,2083,true,HKG,Asia Pacific,Hong Kong,78,4.39
47.245.86.230,8443,8443,true,SIN,Asia Pacific,Singapore,18,4.38
47.245.86.230,2053,2053,true,SIN,Asia Pacific,Singapore,27,4.38
47.245.105.224,2053,2053,true,SIN,Asia Pacific,Singapore,42,4.37
47.237.95.140,2053,2053,true,SIN,Asia Pacific,Singapore,68,4.37
47.242.79.71,2096,2096,true,HKG,Asia Pacific,Hong Kong,70,4.36
8.217.193.25,2096,2096,true,HKG,Asia Pacific,Hong Kong,44,4.35
8.219.60.54,2053,2053,true,SIN,Asia Pacific,Singapore,99,4.35
8.219.111.147,2053,2053,true,SIN,Asia Pacific,Singapore,104,4.35
8.219.106.156,8443,8443,true,SIN,Asia Pacific,Singapore,112,4.35
47.236.164.215,443,443,true,SIN,Asia Pacific,Singapore,78,4.34
8.219.117.198,8443,8443,true,SIN,Asia Pacific,Singapore,55,4.34
8.219.114.201,443,443,true,SIN,Asia Pacific,Singapore,90,4.34
47.236.172.71,2096,2096,true,SIN,Asia Pacific,Singapore,115,4.34
8.219.4.122,2053,2053,true,SIN,Asia Pacific,Singapore,53,4.33
8.222.167.147,8443,8443,true,SIN,Asia Pacific,Singapore,65,4.33
47.237.95.13,2083,2083,true,SIN,Asia Pacific,Singapore,33,4.33
47.242.176.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,70,4.32
8.219.84.214,2053,2053,true,SIN,Asia Pacific,Singapore,105,4.30
8.219.111.175,2053,2053,true,SIN,Asia Pacific,Singapore,82,4.30
47.236.167.231,2087,2087,true,SIN,Asia Pacific,Singapore,118,4.30
47.237.10.1,8443,8443,true,SIN,Asia Pacific,Singapore,130,4.30
47.236.164.215,2053,2053,true,SIN,Asia Pacific,Singapore,107,4.28
8.219.201.8,2053,2053,true,SIN,Asia Pacific,Singapore,108,4.28
47.243.90.180,2083,2083,true,HKG,Asia Pacific,Hong Kong,83,4.28
8.219.117.198,2096,2096,true,SIN,Asia Pacific,Singapore,89,4.27
8.219.4.122,2096,2096,true,SIN,Asia Pacific,Singapore,34,4.27
8.222.150.197,2087,2087,true,SIN,Asia Pacific,Singapore,99,4.26
47.242.17.250,2087,2087,true,HKG,Asia Pacific,Hong Kong,65,4.26
8.222.164.209,2096,2096,true,SIN,Asia Pacific,Singapore,68,4.26
47.237.95.13,2087,2087,true,SIN,Asia Pacific,Singapore,107,4.25
47.236.189.92,2083,2083,true,SIN,Asia Pacific,Singapore,95,4.22
8.218.65.237,2083,2083,true,HKG,Asia Pacific,Hong Kong,51,4.22
8.219.106.156,2087,2087,true,SIN,Asia Pacific,Singapore,111,4.21
47.242.232.14,2053,2053,true,HKG,Asia Pacific,Hong Kong,54,4.20
47.242.232.14,2087,2087,true,HKG,Asia Pacific,Hong Kong,49,4.20
8.222.183.242,2053,2053,true,SIN,Asia Pacific,Singapore,27,4.20
8.218.204.128,2096,2096,true,HKG,Asia Pacific,Hong Kong,83,4.20
8.210.107.246,2053,2053,true,HKG,Asia Pacific,Hong Kong,62,4.19
47.242.232.14,2053,2053,true,HKG,Asia Pacific,Hong Kong,62,4.19
47.236.85.11,8443,443,true,SIN,Asia Pacific,Singapore,59,4.19
8.218.85.128,2096,2096,true,HKG,Asia Pacific,Hong Kong,82,4.17
47.243.27.217,2087,2087,true,HKG,Asia Pacific,Hong Kong,80,4.16
47.236.174.206,8443,8443,true,SIN,Asia Pacific,Singapore,92,4.16
47.238.164.202,443,443,true,HKG,Asia Pacific,Hong Kong,68,4.15
8.218.204.128,8443,8443,true,HKG,Asia Pacific,Hong Kong,59,4.13
47.236.117.48,2087,2087,true,SIN,Asia Pacific,Singapore,86,4.11
47.237.83.20,8443,8443,true,SIN,Asia Pacific,Singapore,68,4.11
47.236.110.238,443,443,true,SIN,Asia Pacific,Singapore,110,4.11
8.219.4.122,2087,2087,true,SIN,Asia Pacific,Singapore,82,4.11
47.236.5.223,2083,2083,true,SIN,Asia Pacific,Singapore,64,4.11
47.245.33.33,443,443,true,NRT,Asia Pacific,Tokyo,230,4.10
8.222.136.247,2083,2083,true,SIN,Asia Pacific,Singapore,126,4.10
47.236.172.95,2087,2087,true,SIN,Asia Pacific,Singapore,133,4.08
8.219.98.13,2096,2096,true,SIN,Asia Pacific,Singapore,145,4.06
8.222.184.198,2083,2083,true,SIN,Asia Pacific,Singapore,184,4.05
47.242.59.216,2083,2083,true,HKG,Asia Pacific,Hong Kong,46,4.05
47.237.95.146,2096,2096,true,SIN,Asia Pacific,Singapore,69,4.05
47.236.80.110,2053,2053,true,SIN,Asia Pacific,Singapore,58,4.04
8.217.207.60,2087,2087,true,HKG,Asia Pacific,Hong Kong,117,4.04
47.236.180.51,2087,2087,true,SIN,Asia Pacific,Singapore,93,4.03
47.243.42.219,2087,2087,true,HKG,Asia Pacific,Hong Kong,71,4.02
47.242.17.250,2053,2053,true,HKG,Asia Pacific,Hong Kong,73,4.01
8.219.67.133,2096,2096,true,SIN,Asia Pacific,Singapore,94,3.99
47.90.216.91,443,443,true,SJC,North America,San Jose,222,3.99
8.218.201.73,2096,2096,true,HKG,Asia Pacific,Hong Kong,123,3.99
8.219.191.110,8443,8443,true,SIN,Asia Pacific,Singapore,89,3.98
47.242.252.237,2083,2083,true,HKG,Asia Pacific,Hong Kong,52,3.97
47.236.80.110,2083,2083,true,SIN,Asia Pacific,Singapore,30,3.96
47.236.253.41,2096,2096,true,SIN,Asia Pacific,Singapore,89,3.96
8.218.155.238,8443,8443,true,HKG,Asia Pacific,Hong Kong,61,3.96
47.237.86.185,2083,2083,true,SIN,Asia Pacific,Singapore,111,3.95
47.236.164.215,2053,2053,true,SIN,Asia Pacific,Singapore,101,3.94
8.222.167.147,2053,2053,true,SIN,Asia Pacific,Singapore,81,3.94
47.237.92.26,2096,2096,true,SIN,Asia Pacific,Singapore,67,3.94
47.237.83.20,2053,2053,true,SIN,Asia Pacific,Singapore,121,3.94
47.237.100.206,8443,8443,true,SIN,Asia Pacific,Singapore,29,3.93
47.236.10.182,2083,2083,true,SIN,Asia Pacific,Singapore,96,3.92
8.218.65.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,70,3.91
8.222.249.190,2096,2096,true,SIN,Asia Pacific,Singapore,76,3.89
47.237.86.185,2053,2053,true,SIN,Asia Pacific,Singapore,127,3.89
8.219.1.92,2096,2096,true,SIN,Asia Pacific,Singapore,78,3.88
47.245.84.124,2083,2083,true,SIN,Asia Pacific,Singapore,26,3.88
47.245.114.163,8443,8443,true,SIN,Asia Pacific,Singapore,35,3.87
47.237.82.15,2083,2083,true,SIN,Asia Pacific,Singapore,90,3.87
8.222.136.247,2053,2053,true,SIN,Asia Pacific,Singapore,76,3.86
47.237.100.206,2053,2053,true,SIN,Asia Pacific,Singapore,76,3.85
8.219.11.158,8443,8443,true,SIN,Asia Pacific,Singapore,137,3.84
8.222.137.192,2083,2083,true,SIN,Asia Pacific,Singapore,127,3.82
8.219.5.10,2096,2096,true,SIN,Asia Pacific,Singapore,63,3.81
47.236.254.120,2083,2083,true,SIN,Asia Pacific,Singapore,57,3.81
47.237.95.140,8443,8443,true,SIN,Asia Pacific,Singapore,58,3.80
47.242.157.96,2053,2053,true,HKG,Asia Pacific,Hong Kong,101,3.79
8.219.174.213,2053,2053,true,SIN,Asia Pacific,Singapore,56,3.79
8.219.0.162,2096,2096,true,SIN,Asia Pacific,Singapore,78,3.79
47.243.139.85,2096,2096,true,HKG,Asia Pacific,Hong Kong,67,3.78
47.242.202.230,8443,8443,true,HKG,Asia Pacific,Hong Kong,71,3.77
8.222.137.192,2096,2096,true,SIN,Asia Pacific,Singapore,104,3.77
8.210.146.108,2083,2083,true,HKG,Asia Pacific,Hong Kong,58,3.76
47.237.95.156,8443,8443,true,SIN,Asia Pacific,Singapore,59,3.76
8.219.67.133,2053,2053,true,SIN,Asia Pacific,Singapore,92,3.75
8.218.204.128,2053,2053,true,HKG,Asia Pacific,Hong Kong,122,3.75
47.242.17.250,2053,2053,true,HKG,Asia Pacific,Hong Kong,46,3.74
8.222.167.147,2087,2087,true,SIN,Asia Pacific,Singapore,180,3.72
47.237.95.156,2087,2087,true,SIN,Asia Pacific,Singapore,44,3.72
47.243.203.119,2053,2053,true,HKG,Asia Pacific,Hong Kong,74,3.72
8.218.222.36,2053,2053,true,HKG,Asia Pacific,Hong Kong,78,3.71
8.219.170.232,2096,2096,true,SIN,Asia Pacific,Singapore,109,3.71
8.222.180.86,2087,2087,true,SIN,Asia Pacific,Singapore,32,3.70
47.245.118.70,2083,2083,true,SIN,Asia Pacific,Singapore,14,3.70
47.237.83.20,2096,2096,true,SIN,Asia Pacific,Singapore,129,3.67
8.222.134.170,2096,2096,true,SIN,Asia Pacific,Singapore,116,3.67
47.243.74.220,2053,2053,true,HKG,Asia Pacific,Hong Kong,90,3.66
47.242.174.27,8443,8443,true,HKG,Asia Pacific,Hong Kong,47,3.65
47.237.100.206,2087,2087,true,SIN,Asia Pacific,Singapore,38,3.65
8.218.65.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,104,3.64
8.219.142.191,2083,2083,true,SIN,Asia Pacific,Singapore,69,3.63
47.237.95.13,2053,2053,true,SIN,Asia Pacific,Singapore,66,3.63
8.219.0.48,2083,2083,true,SIN,Asia Pacific,Singapore,87,3.62
8.219.98.13,8443,8443,true,SIN,Asia Pacific,Singapore,129,3.62
47.236.9.152,2083,2083,true,SIN,Asia Pacific,Singapore,63,3.62
8.222.134.170,2083,2083,true,SIN,Asia Pacific,Singapore,105,3.60
47.237.86.185,2087,2087,true,SIN,Asia Pacific,Singapore,105,3.60
8.218.243.95,8443,8443,true,HKG,Asia Pacific,Hong Kong,64,3.60
8.219.126.240,2087,2087,true,SIN,Asia Pacific,Singapore,139,3.59
47.245.102.52,2087,2087,true,SIN,Asia Pacific,Singapore,36,3.59
47.236.166.131,2083,2083,true,SIN,Asia Pacific,Singapore,88,3.59
47.236.9.152,8443,8443,true,SIN,Asia Pacific,Singapore,49,3.56
47.76.33.40,2096,2096,true,HKG,Asia Pacific,Hong Kong,86,3.55
47.237.94.140,2087,2087,true,SIN,Asia Pacific,Singapore,95,3.54
47.237.95.156,2096,2096,true,SIN,Asia Pacific,Singapore,53,3.53
47.236.130.95,2083,2083,true,SIN,Asia Pacific,Singapore,115,3.53
47.236.166.131,2087,2087,true,SIN,Asia Pacific,Singapore,140,3.53
47.243.234.9,8443,8443,true,HKG,Asia Pacific,Hong Kong,64,3.53
8.222.164.209,2083,2083,true,SIN,Asia Pacific,Singapore,134,3.52
8.219.114.201,2083,2083,true,SIN,Asia Pacific,Singapore,72,3.52
8.219.111.175,2083,2083,true,SIN,Asia Pacific,Singapore,149,3.51
47.238.6.102,2053,2053,true,HKG,Asia Pacific,Hong Kong,51,3.51
8.218.126.53,2096,2096,true,HKG,Asia Pacific,Hong Kong,92,3.50
47.237.92.26,2087,2087,true,SIN,Asia Pacific,Singapore,59,3.50
47.236.75.113,2096,2096,true,SIN,Asia Pacific,Singapore,54,3.50
47.236.168.17,2087,2087,true,SIN,Asia Pacific,Singapore,86,3.49
47.237.95.146,8443,8443,true,SIN,Asia Pacific,Singapore,104,3.49
8.219.174.142,2096,2096,true,SIN,Asia Pacific,Singapore,71,3.47
8.219.100.168,2053,2053,true,SIN,Asia Pacific,Singapore,107,3.46
47.243.27.217,2083,2083,true,HKG,Asia Pacific,Hong Kong,115,3.45
8.218.53.110,2087,2087,true,HKG,Asia Pacific,Hong Kong,100,3.45
8.222.137.192,8443,8443,true,SIN,Asia Pacific,Singapore,121,3.44
8.222.162.45,2083,2083,true,SIN,Asia Pacific,Singapore,14,3.43
8.222.160.176,8443,8443,true,SIN,Asia Pacific,Singapore,42,3.42
47.237.94.140,8443,8443,true,SIN,Asia Pacific,Singapore,133,3.41
47.237.95.156,2083,2083,true,SIN,Asia Pacific,Singapore,75,3.40
47.237.95.13,2083,2083,true,SIN,Asia Pacific,Singapore,61,3.38
47.237.95.146,2087,2087,true,SIN,Asia Pacific,Singapore,101,3.37
8.218.204.128,8443,8443,true,HKG,Asia Pacific,Hong Kong,100,3.37
47.243.234.9,2096,2096,true,HKG,Asia Pacific,Hong Kong,76,3.37
47.236.166.131,2096,2096,true,SIN,Asia Pacific,Singapore,112,3.37
8.222.180.86,8443,8443,true,SIN,Asia Pacific,Singapore,96,3.35
8.219.1.92,2096,2096,true,SIN,Asia Pacific,Singapore,53,3.35
8.222.156.242,2053,2053,true,SIN,Asia Pacific,Singapore,100,3.34
8.210.192.93,2096,2096,true,HKG,Asia Pacific,Hong Kong,39,3.34
8.210.39.96,8443,8443,true,HKG,Asia Pacific,Hong Kong,36,3.34
47.236.130.95,2087,2087,true,SIN,Asia Pacific,Singapore,88,3.34
47.243.234.9,2087,2087,true,HKG,Asia Pacific,Hong Kong,94,3.32
8.219.174.142,8443,8443,true,SIN,Asia Pacific,Singapore,42,3.32
47.237.92.26,8443,8443,true,SIN,Asia Pacific,Singapore,125,3.32
47.237.94.140,2096,2096,true,SIN,Asia Pacific,Singapore,38,3.31
8.222.150.197,8443,8443,true,SIN,Asia Pacific,Singapore,138,3.29
47.236.167.231,2096,2096,true,SIN,Asia Pacific,Singapore,90,3.28
8.218.211.17,8443,8443,true,HKG,Asia Pacific,Hong Kong,44,3.27
8.218.65.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,110,3.26
8.210.146.108,2096,2096,true,HKG,Asia Pacific,Hong Kong,55,3.26
8.222.181.117,2053,2053,true,SIN,Asia Pacific,Singapore,82,3.25
47.76.159.146,2083,2083,true,HKG,Asia Pacific,Hong Kong,77,3.24
8.217.127.73,2053,2053,true,HKG,Asia Pacific,Hong Kong,52,3.23
8.217.147.230,2053,2053,true,HKG,Asia Pacific,Hong Kong,61,3.23
8.218.204.128,2087,2087,true,HKG,Asia Pacific,Hong Kong,85,3.22
8.219.111.147,443,443,true,SIN,Asia Pacific,Singapore,106,3.21
8.219.124.227,8443,8443,true,SIN,Asia Pacific,Singapore,76,3.20
8.210.3.24,2083,2083,true,HKG,Asia Pacific,Hong Kong,48,3.20
47.242.36.78,2087,2087,true,HKG,Asia Pacific,Hong Kong,62,3.18
8.218.188.129,2096,2096,true,HKG,Asia Pacific,Hong Kong,113,3.18
47.236.93.176,2083,2083,true,SIN,Asia Pacific,Singapore,53,3.18
47.243.27.217,2053,2053,true,HKG,Asia Pacific,Hong Kong,93,3.17
8.210.175.109,2053,2053,true,HKG,Asia Pacific,Hong Kong,70,3.17
8.222.167.147,2083,2083,true,SIN,Asia Pacific,Singapore,87,3.17
47.236.202.91,2083,2083,true,SIN,Asia Pacific,Singapore,95,3.17
8.218.65.237,2083,2083,true,HKG,Asia Pacific,Hong Kong,112,3.16
8.219.110.81,8443,8443,true,SIN,Asia Pacific,Singapore,83,3.15
8.218.222.36,2096,2096,true,HKG,Asia Pacific,Hong Kong,89,3.14
8.222.162.45,2087,2087,true,SIN,Asia Pacific,Singapore,135,3.14
47.236.166.131,2053,2053,true,SIN,Asia Pacific,Singapore,117,3.14
8.217.250.222,2087,2087,true,HKG,Asia Pacific,Hong Kong,66,3.12
8.219.111.147,2087,2087,true,SIN,Asia Pacific,Singapore,103,3.11
47.236.10.182,2096,2096,true,SIN,Asia Pacific,Singapore,45,3.11
47.237.94.140,2083,2083,true,SIN,Asia Pacific,Singapore,49,3.10
8.219.199.220,8443,8443,true,SIN,Asia Pacific,Singapore,50,3.06
8.218.136.25,2083,2083,true,HKG,Asia Pacific,Hong Kong,88,3.06
8.222.167.147,8443,8443,true,SIN,Asia Pacific,Singapore,137,3.06
8.222.156.242,2087,2087,true,SIN,Asia Pacific,Singapore,117,3.06
8.222.181.117,2087,2087,true,SIN,Asia Pacific,Singapore,70,3.06
8.218.222.36,2083,2083,true,HKG,Asia Pacific,Hong Kong,84,3.04
8.217.159.210,2053,2053,true,HKG,Asia Pacific,Hong Kong,50,3.04
47.237.95.140,2096,2096,true,SIN,Asia Pacific,Singapore,59,3.04
8.210.192.93,2053,2053,true,HKG,Asia Pacific,Hong Kong,38,3.03
47.242.17.250,2083,2083,true,HKG,Asia Pacific,Hong Kong,67,3.03
8.222.181.117,8443,8443,true,SIN,Asia Pacific,Singapore,168,3.02
8.210.39.96,2087,2087,true,HKG,Asia Pacific,Hong Kong,37,3.02
47.76.32.108,2087,2087,true,HKG,Asia Pacific,Hong Kong,102,3.02
47.242.59.216,8443,8443,true,HKG,Asia Pacific,Hong Kong,44,3.01
8.210.21.65,2053,2053,true,HKG,Asia Pacific,Hong Kong,39,3.01
47.242.59.216,2087,2087,true,HKG,Asia Pacific,Hong Kong,38,3.00
